@relation dataset

@attribute ax real
@attribute ay real 
@attribute az real 
@attribute gx real
@attribute gy real
@attribute gz real
@attribute ave real 
@attribute res {STOP, MOVE, STEP}

@data
-0.22026062,0.12210083,10.022125,-0.002136231,0,-0.002136231,2.480457245,STOP
-0.1771698,-0.02154541,9.979019,-0.004257202,-0.004257202,0.005325317,2.444011647,STOP
-0.23461914,0.07421875,9.916779,0.019165039,0.010665894,0,2.443885912,STOP
-0.23461914,0.07421875,9.916779,0.019165039,0.010665894,0,2.443885912,STOP
-0.13885498,-0.026321411,9.969452,-0.002136231,-0.005325317,-0.008529663,2.450534845,STOP
-0.296875,-0.007171631,9.907196,-0.001068115,0.004272461,0.00958252,2.400520313,STOP
-0.23461914,0.21307373,9.974243,0.01171875,-0.001052856,-0.004257202,2.491104085,STOP
-0.12927246,0.04548645,9.950287,0.003189087,0.012786865,0.004257202,2.467422519,STOP
-0.12927246,0.04548645,9.950287,0.003189087,0.012786865,0.004257202,2.467422519,STOP
-0.15322876,0.01675415,9.92157,0.001068115,-0.008514404,0.002120972,2.446540876,STOP
-0.13406372,0.10772705,9.998184,0.014907837,0.005340576,0.007461548,2.496688792,STOP
-0.37828064,-0.05505371,9.902405,0.003189087,0.004272461,0.008514404,2.368064934,STOP
-0.23461914,0.07421875,9.945511,0.007446289,-0.010650635,-0.004257202,2.448139225,STOP
-0.19631958,0.02154541,10.055634,0.005325317,-0.005325317,0.004257202,2.471546287,STOP
-0.19631958,0.02154541,10.055634,0.005325317,-0.005325317,0.004257202,2.471546287,STOP
-0.1484375,0.12689209,9.926346,0.010650635,-0.004257202,-0.006393433,2.478862806,STOP
-0.23461914,0.04069519,10.065216,-0.006378174,0.015991211,0.006393433,2.466228469,STOP
-0.13406372,0.05027771,9.883255,0.014907837,0.004272461,0.001068115,2.453594207,STOP
-0.1771698,0.10772705,10.060425,-0.001068115,0,-0.001068115,2.497478534,STOP
-0.1771698,0.10772705,10.060425,-0.001068115,0,-0.001068115,2.497478534,STOP
-0.18673706,0.03111267,9.844955,0.007446289,-0.004257202,0.003189087,2.424194225,STOP
-0.22026062,0.11730957,10.0316925,0.01171875,0.017044067,0.003189087,2.48511505,STOP
-0.25378418,0.007171631,9.801849,-0.004257202,0.002136231,-0.003204346,2.387744812,STOP
-0.17237854,0.03590393,9.979019,0.00958252,0.003204346,0.007461548,2.463031727,STOP
-0.22505188,0.05027771,9.945511,-0.012771606,0.007461548,0,2.439491306,STOP
-0.22505188,0.05027771,9.945511,-0.012771606,0.007461548,0,2.439491306,STOP
-0.28250122,0.04548645,9.773117,0.004257202,-0.006378174,-0.005325317,2.385089858,STOP
-0.09576416,0.07421875,9.82579,0.018112183,-0.003189087,0.004257202,2.455589193,STOP
