@relation dataset

@attribute ax real
@attribute ay real 
@attribute az real 
@attribute gx real
@attribute gy real
@attribute gz real
@attribute ave real 
@attribute res {TRUE, FALSE}

@data 
-1.1385956,-0.53622437,10.179749,-0.001068115,0.01914978,-0.06602478,2.125965229,FALSE
-0.93566895,-0.1476593,10.073532,-0.048980713,0.004257202,0.116119385,2.235305759,FALSE
-0.98172,-1.2711029,10.717651,-0.005310059,0.07241821,-0.022354126,2.11487951,FALSE
-0.56552124,-1.2451935,10.168671,0.039413452,-0.08628845,-0.20983887,2.099342428,FALSE
-2.473343,-2.2536926,9.881561,0.08628845,-0.007461548,-0.12782288,1.310203463,FALSE
-1.48172,0.8243866,10.140213,0.08628845,-0.007461548,-0.12782288,2.392292013,FALSE
-1.6899109,0.62846375,10.144028,-0.19172668,0.053237915,0.018112183,2.222713543,FALSE
-1.7579803,0.19206238,9.458237,-0.3653717,0.08520508,0.031951904,1.881736845,FALSE
-1.2820587,0.519989,10.326523,-0.14698792,-0.10014343,0.17044067,2.354366345,FALSE
-1.5570984,-0.3191986,10.4114685,-0.08413696,0.10437012,0.26419067,2.112758635,FALSE
-1.9249115,0.040664673,9.9908905,-0.2204895,0.23434448,0.5028076,1.971538543,FALSE
-1.9668427,0.027526855,11.845718,-0.2204895,0.23434448,0.5028076,2.421478164,FALSE
-1.4036255,2.1599274,11.338348,-0.18000793,-0.039413452,0.24287415,2.978660493,FALSE
-3.7089844,-0.47981262,10.549591,-0.46017456,0.15870667,0.2503357,1.475154855,FALSE
-1.843338,-1.9615936,11.061462,-0.13633728,0.04258728,0.1491394,1.78004828,FALSE
